Authors,Title,,,,,,,,,
"Akhand,M. A. H. ,Habib,M. A. and Siddique,M. A. S. K. a. N.",  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity,,,,,,,,,
"Moyeen,M. A. ,Alam,K. M. R. and Awal,a. M. A.", Bangla Text Extraction from Natural Scene Images for Mobile Applications,,,,,,,,,
"Rahman,M. M. , Islam,M. , Manik,M. M. H. and Al-Rakhami,M. S. A.", Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic,,,,,,,,,
"Majumder,S. , Zaha,R. , Manik,M. M. H. and Alam,K. M. R.", A Blockchain Based Scalable Framework for Academic Document Verification,,,,,,,,,
"Manik,M. M. H. , Sagor,A. H. , Habib,M. A. , Touhid,M. M. , Ahmed,T. , Islam,M. Z. and Haque"," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology",,,,,,,,,
"Habib,M. A. ,Manik,M. M. H. and Zaman,S.", A Blockchain-based Technique to Prevent Grade Tampering: A University Perspective,,,,,,,,,
"Manik,M. M. H. , Haque,F. , Hashem,M. , Habib,M. A. , Islam,M. Z. and Ahmed,T."," ""A Hybrid Framework for Sentiment Analysis from Bangla Texts",,,,,,,,,
"Manik,M. M. H. ,Alam,K. M. R. and Morimoto,Y."," ""A Blockchain Based Secure Framework for User-centric Multi-party Skyline Queries",,,,,,,,,
"Manik,M. M. H. ,Habib,M. A. and Ahmed,T.",Machine Learning Algorithms on COVID-19 Prediction Using CpG Island and AT-CG Feature on Human Genomic Data,,,,,,,,,
"Rahman,M. M. , Manik,M. M. H. , Islam,M. M. , Mahmud,S. and Kim","An automated system to limit COVID-19 using facial mask detection in smart city network
Haque",,,,,,,,,
"Omar,M. T. and Hasan,K. M. A.", A Scalable Storage System for Structured Data Based on Higher Order Index Array,,,,,,,,,
"Omar,M. T. and Hasan,K. M. A.", Towards An Efficient Maintenance of Address Space Overflow for Array Based Storage System,,,,,,,,,
"Khandaker,A. I. , ,, Omar,M. T. , Gope,M. and Shill,P. C.","Optimizing fuzzy neural network controller based on NSGA-II
Shaikh",,,,,,,,,
"Omar,M. T. , ,, Gope,M. , Khandaker,A. I. and Shill", Multi objective non-dominated sorting genetic algorithm (NSGA-II) for optimizing fuzzy rule base system,,,,,,,,,
"Gope,M. ,omar,M. T. and Shill,P. C.",Optimization of Fuzzy Neural Network Using Multiobjective NSGA-II,,,,,,,,,
"Omar,M. T. ,Hasan,K. M. A. and Ahsan,S. M. M."," An efficient chunk based record encoding scheme for higher dimensional arrays
Hasan",,,,,,,,,
"Hossain,S. I., Herve,J. d. G. d., Abrial,D., Emilion,R., Lebert,I., Frendo,Y., Martineau,D., Lesens,O., Nguifo,E. M.",Expert opinion elicitation for assisting deep learning based Lyme disease classifier with patient data,,,,,,,,,
"Salim,M. S., Hossain,S. I., Jalal,T., Bose,D. K., Basher",LLM based QA chatbot builder: A generative AI-based chatbot builder for question answering,,,,,,,,,
"Peya,Z. J., Maria,M. A., Hossain,S. I., Akhand,M. A. H., Siddique,N.",Autism Spectrum Disorder Detection using Prominent Connectivity Features from Electroencephalography,,,,,,,,,
"Hossain,S. I., Akhand,M., Shuvo,M., Siddique,N., Adeli,H.",Optimization of University Course Scheduling Problem using Particle Swarm Optimization with Selective Search,,,,,,,,,
"Hossain,S. I., Herve,J. d. G. d., Hassan,M. S., Martineau,D., Petrosyan,E., Corbin,V., Beytout,J., Lebert,I., Durand,J., Carravieri,I., Brun-Jacob,A. B., Frey-Klett,P. F., Baux,E., Cazorla,C., Eldin,C., Hansmann,Y., Patrat-Delon,S. P., Prazuck,T., Raffetin,A., Tattevin,P., Vourc'h,G. V., Lesens,O., Nguifo,E. M.",Exploring convolutional neural networks with transfer learning for diagnosing Lyme disease from skin lesion images,,,,,,,,,
"Hossain,S. I., Roy,S. S., Herve,J. D. G. D., Mercer,R. E., Nguifo,E. M.", A skin lesion hair mask dataset with fine-grained annotations,,,,,,,,,
"Saad,A. M., Mahi,U. N., Salim,M. S., Hossain,S. I.",Bangla news article dataset,,,,,,,,,
"Salim,M. S., Hossain,S. I.",An Applied Statistics dataset for human vs AI-generated answer classification,,,,,,,,,
"Roy,S. S., Hossain,S. I., Akhand,M. A. H., Murase,K.",A Robust System for Noisy Image Classification Combining Denoising Autoencoder and Convolutional Neural Network,,,,,,,,,
"Al-Mahmud,A., Shimada,K.","Demonstration of Efficacy of Exploiting ChatGPT Data to the Transformers-Based Models by Performing Bangla Intent Analysis""",,,,,,,,,
"H,A. M. A., T,S., R,S. M. I., Al-Mahmud,A.",Constructive and Clustering Methods to Solve Capacitated Vehicle Routing Problem,,,,,,,,,
"Hasan,K. A., Al-Mahmud,A., Saha,A. M. a. A.",Recognizing Bangla Grammar Using Predictive Parser,,,,,,,,,
"Junaed,A. B. M., Akhand,M. A. H., Murase,A. a. K.",Multi-Producer Group Search Optimizer for Function Optimization,,,,,,,,,
"Rahaman,S. S., Al-Mahmud,A., Akhand,M. R. I. a. M. A. H.",Design and Development of a Bengali Unicode Font Converter,,,,,,,,,
"Sen,O., Al-Mahmud,P. R. a. A.",A Novel Bangla Spoken Numerals Recognition System Using Convolutional Neural Network,,,,,,,,,
"Al-Mahmud,A., Kamruzzaman,M. M. a. S.",GRU-based Encoder-Decoder Attention Model for English to Bangla Translation on Novel Dataset,,,,,,,,,
"Khalil,A. A., Ahmed,A. a. A.",FICBIT: An improved Fractal Image Compression using Bio-Inspired Techniques,,,,,,,,,
"Sen,O., Roy,A. a. P.",A Convolutional Neural Network Based Approach to Recognize Bangla Spoken Digits from Speech Signal,,,,,,,,,
"Al-Mahmud,A., Rahman,A. T. a. S.",Handwritten English Character and Digit Recognition,,,,,,,,,
"Bhattacharjee,I., Mahmud,A. a. T.",Diabetic Retinopathy Classification from Retinal Images using Machine Learning Approaches,,,,,,,,,
"Akhand,M. A. H., Jannat,Z., Al-Mahmud,T. D. a. A.",Optimization of Capacitated Vehicle Routing Problem using Producer-Scrounger Method,,,,,,,,,
"Akhand,M. A. H., Jannat,Z., Al-Mahmud,T. S. a. A.",Solving Capacitated Vehicle Routing Problem with Route Optimization using Swarm Intelligence,,,,,,,,,
