University Name,Research Website
Bangladesh University of Engineering and Technology,https://www.buet.ac.bd
University of Dhaka,https://www.du.ac.bd
Khulna University of Engineering and Technology,https://www.kuet.ac.bd
Rajshahi University of Engineering and Technology,https://www.ruet.ac.bd
North South University,https://www.northsouth.edu
Daffodil International University,https://www.daffodilvarsity.edu.bd
Chittagong University of Engineering and Technology,https://www.cuet.ac.bd
Jahangirnagar University,https://www.juniv.edu
Rajshahi University,https://www.ru.ac.bd
BRAC University,https://www.bracu.ac.bd
Khulna University,https://ku.ac.bd
Shahjalal University of Science and Technology,https://www.sust.edu
University of Chittagong,https://www.cu.ac.bd
American International University - Bangladesh,https://www.aiub.edu
Islamic University,https://www.iu.ac.bd
United International University,https://www.uiu.ac.bd
Mawlana Bhashani Science and Technology University,https://www.mbstu.ac.bd
Islamic University of Technology,https://www.iutoic-dhaka.edu
East West University - Dhaka,https://www.ewubd.edu
Ahsanullah University of Science and Technology,https://www.aust.edu
"International Islamic University, Chittagong",https://www.iiuc.ac.bd
"Independent University, Bangladesh",https://www.iub.edu.bd
Bangladesh Agricultural University,https://www.bau.edu.bd
Bangabandhu Sheikh Mujib Medical University,https://www.bsmmu.edu.bd
Green University of Bangladesh,https://www.green.edu.bd
Noakhali Science and Technology University,https://www.nstu.edu.bd
Bangladesh University of Professionals,https://www.bup.edu.bd
Hajee Mohammad Danesh Science and Technology University,https://www.hstu.ac.bd
University of Science and Technology Chittagong,https://www.ustc.ac.bd
Patuakhali Science and Technology University,https://www.pstu.ac.bd
Pabna Science and Technology University,https://www.pust.ac.bd
Begum Rokeya University,https://www.brur.ac.bd
Comilla University,https://www.cou.ac.bd
Jagannath University - Dhaka,https://www.jnu.ac.bd
Premier University,https://www.puc.ac.bd
Bangabandhu Sheikh Mujibur Rahman Science and Technology University,https://www.bsmrstu.edu.bd
Bangabandhu Sheikh Mujibur Rahman Agricultural University,https://www.bsmrau.edu.bd
Southern University Bangladesh,https://www.southern.edu.bd
Bangladesh University of Textiles,https://www.butex.edu.bd
Dhaka International University,https://www.diu.edu.bd
World University of Bangladesh,https://www.wub.edu.bd
Sylhet Agricultural University,https://www.sau.ac.bd
Bangladesh University,https://www.bu.edu.bd
Jatiya Kabi Kazi Nazrul Islam University,https://www.jkkniu.edu.bd
Northern University of Bangladesh,https://www.nub.ac.bd
Stamford University Bangladesh,https://www.stamforduniversity.edu.bd
Uttara University,https://www.uttarauniversity.edu.bd
University of Information Technology and Sciences,https://www.uits.edu.bd
Chittagong Medical University,https://www.cmu.edu.bd
Sher-e-Bangla Agricultural University,https://www.sau.edu.bd
